n0015_m02_p050__002.inst -> Ticks: 87044.41 | Time: 59.765 | BnB nodes: 13020 | Status: Feasible
n0015_m02_p050__003.inst -> Ticks: 89064.0 | Time: 59.875 | BnB nodes: 20294 | Status: Feasible
n0015_m02_p050__004.inst -> Ticks: 53782.45 | Time: 36.734 | BnB nodes: 14738
n0015_m02_p075__000.inst -> Ticks: 85363.37 | Time: 59.89 | BnB nodes: 12493 | Status: Feasible
n0015_m02_p075__001.inst -> Ticks: 94912.95 | Time: 59.906 | BnB nodes: 18876 | Status: Feasible
n0015_m02_p075__002.inst -> Ticks: 88066.32 | Time: 59.875 | BnB nodes: 16488 | Status: Feasible
n0015_m02_p075__003.inst -> Ticks: 88186.63 | Time: 59.891 | BnB nodes: 12088 | Status: Feasible
n0015_m02_p075__004.inst -> Ticks: 89523.47 | Time: 59.766 | BnB nodes: 17010 | Status: Feasible
n0015_m02_p090__000.inst -> Ticks: 85487.2 | Time: 59.781 | BnB nodes: 11870 | Status: Feasible
n0015_m02_p090__001.inst -> Ticks: 77779.66 | Time: 59.765 | BnB nodes: 8578 | Status: Feasible
n0015_m02_p090__002.inst -> Ticks: 80786.72 | Time: 59.875 | BnB nodes: 10933 | Status: Feasible
n0015_m02_p090__003.inst -> Ticks: 85577.02 | Time: 59.765 | BnB nodes: 10639 | Status: Feasible
n0015_m02_p090__004.inst -> Ticks: 84800.73 | Time: 59.937 | BnB nodes: 17550 | Status: Feasible
n0015_m03_p025__000.inst -> Ticks: 69681.98 | Time: 52.687 | BnB nodes: 8272
n0015_m03_p025__001.inst -> Ticks: 79298.3 | Time: 59.546 | BnB nodes: 9067 | Status: Feasible
n0015_m03_p025__002.inst -> Ticks: 79735.89 | Time: 59.625 | BnB nodes: 6335 | Status: Feasible
n0015_m03_p025__003.inst -> Ticks: 17415.99 | Time: 13.265 | BnB nodes: 2081
n0015_m03_p025__004.inst -> Ticks: 85910.21 | Time: 59.859 | BnB nodes: 7198 | Status: Feasible
n0015_m03_p050__000.inst -> Ticks: 79724.8 | Time: 59.89 | BnB nodes: 8603 | Status: Feasible
n0015_m03_p050__001.inst -> Ticks: 84984.67 | Time: 59.61 | BnB nodes: 6617 | Status: Feasible
n0015_m03_p050__002.inst -> Ticks: 79127.78 | Time: 59.468 | BnB nodes: 11331 | Status: Feasible
n0015_m03_p050__003.inst -> Ticks: 73580.64 | Time: 59.25 | BnB nodes: 6602 | Status: Feasible
n0015_m03_p050__004.inst -> Ticks: 80840.09 | Time: 59.703 | BnB nodes: 6038 | Status: Feasible
n0015_m03_p075__000.inst -> Ticks: 73302.49 | Time: 59.187 | BnB nodes: 7255 | Status: Feasible
n0015_m03_p075__001.inst -> Ticks: 80002.63 | Time: 59.609 | BnB nodes: 4957 | Status: Feasible
n0015_m03_p075__002.inst -> Ticks: 84194.92 | Time: 59.625 | BnB nodes: 7964 | Status: Feasible
n0015_m03_p075__003.inst -> Ticks: 83429.93 | Time: 59.515 | BnB nodes: 5686 | Status: Feasible
n0015_m03_p075__004.inst -> Ticks: 83839.95 | Time: 59.421 | BnB nodes: 6990 | Status: Feasible
n0015_m03_p090__000.inst -> Ticks: 82093.05 | Time: 59.703 | BnB nodes: 3999 | Status: Feasible
n0015_m03_p090__001.inst -> Ticks: 92234.35 | Time: 59.812 | BnB nodes: 5689 | Status: Feasible
n0015_m03_p090__002.inst -> Ticks: 80752.92 | Time: 59.64 | BnB nodes: 5159 | Status: Feasible
n0015_m03_p090__003.inst -> Ticks: 93131.35 | Time: 59.843 | BnB nodes: 3521 | Status: Feasible
n0015_m03_p090__004.inst -> Ticks: 91640.64 | Time: 59.86 | BnB nodes: 5383 | Status: Feasible
n0015_m04_p025__000.inst -> Ticks: 82868.21 | Time: 59.578 | BnB nodes: 5565 | Status: Feasible
n0015_m04_p025__001.inst -> Ticks: 80741.27 | Time: 59.859 | BnB nodes: 3392 | Status: Feasible
n0015_m04_p025__002.inst -> Ticks: 88610.51 | Time: 59.735 | BnB nodes: 6121 | Status: Feasible
n0015_m04_p025__003.inst -> Ticks: 84682.09 | Time: 59.703 | BnB nodes: 5264 | Status: Feasible
n0015_m04_p025__004.inst -> Ticks: 925.15 | Time: 0.781 | BnB nodes: 79
n0015_m04_p050__000.inst -> Ticks: 84842.12 | Time: 59.765 | BnB nodes: 4380 | Status: Feasible
n0015_m04_p050__001.inst -> Ticks: 84996.22 | Time: 59.953 | BnB nodes: 2755 | Status: Feasible
n0015_m04_p050__002.inst -> Ticks: 85307.41 | Time: 59.812 | BnB nodes: 6390 | Status: Feasible
n0015_m04_p050__003.inst -> Ticks: 87645.99 | Time: 59.906 | BnB nodes: 5176 | Status: Feasible
n0015_m04_p050__004.inst -> Ticks: 87958.56 | Time: 59.734 | BnB nodes: 5700 | Status: Feasible
n0015_m04_p075__000.inst -> Ticks: 88781.3 | Time: 59.765 | BnB nodes: 4148 | Status: Feasible
n0015_m04_p075__001.inst -> Ticks: 85365.98 | Time: 59.89 | BnB nodes: 2579 | Status: Feasible
n0015_m04_p075__002.inst -> Ticks: 84412.28 | Time: 59.828 | BnB nodes: 2274 | Status: Feasible
n0015_m04_p075__003.inst -> Ticks: 84064.3 | Time: 59.984 | BnB nodes: 1484 | Status: Feasible
n0015_m04_p075__004.inst -> Ticks: 80610.89 | Time: 59.531 | BnB nodes: 4886 | Status: Feasible
n0015_m04_p090__000.inst -> Ticks: 83153.74 | Time: 59.812 | BnB nodes: 1568 | Status: Feasible
n0015_m04_p090__001.inst -> Ticks: 81299.91 | Time: 59.625 | BnB nodes: 1201 | Status: Feasible
n0015_m04_p090__002.inst -> Ticks: 79458.35 | Time: 59.687 | BnB nodes: 2124 | Status: Feasible
n0015_m04_p090__003.inst -> Ticks: 70784.85 | Time: 58.844 | BnB nodes: 3055 | Status: Feasible
