n0045_m05__000.inst -> Ticks: 266176.92 | Time: 201.828 | BnB nodes: 10481
n0045_m05__001.inst -> Ticks: 3513925.55 | Time: 2723.33 | BnB nodes: 84234
n0045_m05__002.inst -> Ticks: 188994.11 | Time: 137.093 | BnB nodes: 22277
n0045_m05__003.inst -> Ticks: 525712.38 | Time: 372.515 | BnB nodes: 38063
n0045_m05__004.inst -> Ticks: 4791076.09 | Time: 3978.16 | BnB nodes: 91511
n0050_m01__000.inst -> Ticks: 5721.85 | Time: 4.656 | BnB nodes: 3072
n0050_m01__001.inst -> Ticks: 4246.57 | Time: 3.5 | BnB nodes: 2544
n0050_m01__002.inst -> Ticks: 1326.38 | Time: 1.14 | BnB nodes: 582
n0050_m01__003.inst -> Ticks: 3002.82 | Time: 2.593 | BnB nodes: 2537
n0050_m01__004.inst -> Ticks: 789.02 | Time: 0.687 | BnB nodes: 1113
n0050_m02__000.inst -> Ticks: 770984.96 | Time: 565.093 | BnB nodes: 47212
n0050_m02__001.inst -> Ticks: 232869.26 | Time: 154.641 | BnB nodes: 22253
n0050_m02__002.inst -> Ticks: 243208.01 | Time: 157.593 | BnB nodes: 34876
n0050_m02__003.inst -> Ticks: 12218.64 | Time: 8.453 | BnB nodes: 2677
n0050_m02__004.inst -> Ticks: 223063.15 | Time: 151.61 | BnB nodes: 18859
n0050_m03__000.inst -> Ticks: 45454277.53 | Time: 42259.03 | BnB nodes: 156204
n0050_m03__001.inst -> Ticks: 4957259.77 | Time: 4380.7 | BnB nodes: 87522
n0050_m03__002.inst -> Ticks: 889408.42 | Time: 605.703 | BnB nodes: 59476
n0050_m03__003.inst -> Ticks: 2033228.93 | Time: 1467.95 | BnB nodes: 64250
n0050_m03__004.inst -> Ticks: 3039408.28 | Time: 2355.84 | BnB nodes: 59060
n0050_m04__000.inst -> Ticks: 3414163.97 | Time: 2761.05 | BnB nodes: 55805
n0050_m04__001.inst -> Ticks: 1023376.56 | Time: 727.156 | BnB nodes: 29423
n0050_m04__002.inst -> Ticks: 630411.97 | Time: 430.218 | BnB nodes: 25068
n0050_m04__003.inst -> Ticks: 3222571.92 | Time: 2430.8 | BnB nodes: 92139
n0050_m04__004.inst -> Ticks: 3067589.58 | Time: 2375.22 | BnB nodes: 72820
n0050_m05__000.inst -> Ticks: 864699.54 | Time: 615.718 | BnB nodes: 52842
n0050_m05__001.inst -> Ticks: 3251133.11 | Time: 2789.34 | BnB nodes: 74969
n0050_m05__002.inst -> Ticks: 25951339.4 | Time: 22797.7 | BnB nodes: 152832
n0050_m05__003.inst -> Ticks: 172372.17 | Time: 109.39 | BnB nodes: 10488
n0050_m05__004.inst -> Ticks: 463204.48 | Time: 323.125 | BnB nodes: 13674
