n0015_m01_p075__003.inst -> Ticks: 102.32 | Time: 0.14 | BnB nodes: 0
n0015_m01_p075__004.inst -> Ticks: 29.11 | Time: 0.046 | BnB nodes: 0
n0015_m01_p090__000.inst -> Ticks: 23.26 | Time: 0.031 | BnB nodes: 0
n0015_m01_p090__001.inst -> Ticks: 16.76 | Time: 0.031 | BnB nodes: 0
n0015_m01_p090__002.inst -> Ticks: 16.71 | Time: 0.015 | BnB nodes: 0
n0015_m01_p090__003.inst -> Ticks: 64.56 | Time: 0.109 | BnB nodes: 0
n0015_m01_p090__004.inst -> Ticks: 46.3 | Time: 0.078 | BnB nodes: 0
n0015_m02_p025__000.inst -> Ticks: 10617.73 | Time: 7.656 | BnB nodes: 2969
n0015_m02_p025__001.inst -> Ticks: 79958.52 | Time: 59.937 | BnB nodes: 19510 | Status: Feasible
n0015_m02_p025__002.inst -> Ticks: 14463.43 | Time: 10.484 | BnB nodes: 2294
n0015_m02_p025__003.inst -> Ticks: 3867.6 | Time: 2.984 | BnB nodes: 968
n0015_m02_p025__004.inst -> Ticks: 1597.6 | Time: 1.14 | BnB nodes: 586
n0015_m02_p050__000.inst -> Ticks: 23881.34 | Time: 15.875 | BnB nodes: 4422
n0015_m02_p050__001.inst -> Ticks: 89316.82 | Time: 59.921 | BnB nodes: 33055 | Status: Feasible
n0015_m02_p050__002.inst -> Ticks: 87596.79 | Time: 59.781 | BnB nodes: 11135 | Status: Feasible
n0015_m02_p050__003.inst -> Ticks: 89149.64 | Time: 59.906 | BnB nodes: 23280 | Status: Feasible
n0015_m02_p050__004.inst -> Ticks: 77500.94 | Time: 51.062 | BnB nodes: 20230
n0015_m02_p075__000.inst -> Ticks: 96329.09 | Time: 59.703 | BnB nodes: 20746 | Status: Feasible
n0015_m02_p075__001.inst -> Ticks: 90325.69 | Time: 59.875 | BnB nodes: 15647 | Status: Feasible
n0015_m02_p075__002.inst -> Ticks: 96002.26 | Time: 59.89 | BnB nodes: 19614 | Status: Feasible
n0015_m02_p075__003.inst -> Ticks: 98039.69 | Time: 59.906 | BnB nodes: 17470 | Status: Feasible
n0015_m02_p075__004.inst -> Ticks: 96734.24 | Time: 59.969 | BnB nodes: 20276 | Status: Feasible
