n0040_m05__004.inst -> Ticks: 157017.67 | Time: 101.64
n0045_m01__000.inst -> Ticks: 2294.07 | Time: 1.656
n0045_m01__001.inst -> Ticks: 2111.28 | Time: 1.718
n0045_m01__002.inst -> Ticks: 11602.28 | Time: 7.968
n0045_m01__003.inst -> Ticks: 5169.68 | Time: 3.812
n0045_m01__004.inst -> Ticks: 850.93 | Time: 0.656
n0045_m02__000.inst -> Ticks: 34579.35 | Time: 21.703
n0045_m02__001.inst -> Ticks: 45413.19 | Time: 28.046
n0045_m02__002.inst -> Ticks: 442401.07 | Time: 291.859
n0045_m02__003.inst -> Ticks: 3551.12 | Time: 2.453
n0045_m02__004.inst -> Ticks: 14533.1 | Time: 9.469
n0045_m03__000.inst -> Ticks: 303213.22 | Time: 194.218
n0045_m03__001.inst -> Ticks: 95276.08 | Time: 66.312
n0045_m03__002.inst -> Ticks: 462524.19 | Time: 303.015
n0045_m03__003.inst -> Ticks: 268866.67 | Time: 167.64
n0045_m03__004.inst -> Ticks: 226511.36 | Time: 145.14
n0045_m04__000.inst -> Ticks: 534109.89 | Time: 354.109
n0045_m04__001.inst -> Ticks: 256119.02 | Time: 158.109
n0045_m04__002.inst -> Ticks: 201123.81 | Time: 128.125
n0045_m04__003.inst -> Ticks: 328892.08 | Time: 210.406
n0045_m04__004.inst -> Ticks: 345198.67 | Time: 224.484
n0045_m05__000.inst -> Ticks: 200096.78 | Time: 133.468
n0045_m05__001.inst -> Ticks: 516432.32 | Time: 340.281
n0045_m05__002.inst -> Ticks: 132485.93 | Time: 86.937
n0045_m05__003.inst -> Ticks: 124724.24 | Time: 81.89
n0045_m05__004.inst -> Ticks: 936312.96 | Time: 619.656
n0050_m01__000.inst -> Ticks: 3442.16 | Time: 2.546
n0050_m01__001.inst -> Ticks: 4197.05 | Time: 3.093
n0050_m01__002.inst -> Ticks: 6761.71 | Time: 4.828
n0050_m01__003.inst -> Ticks: 1607.32 | Time: 1.265
n0050_m01__004.inst -> Ticks: 2345.51 | Time: 1.703
n0050_m02__000.inst -> Ticks: 269340.95 | Time: 177.64
n0050_m02__001.inst -> Ticks: 63644.56 | Time: 42.734
n0050_m02__002.inst -> Ticks: 107089.06 | Time: 70.875
n0050_m02__003.inst -> Ticks: 4486.07 | Time: 3.218
n0050_m02__004.inst -> Ticks: 19764.2 | Time: 12.156
n0050_m03__000.inst -> Ticks: 12515648.74 | Time: 8098.52
n0050_m03__001.inst -> Ticks: 580796.54 | Time: 368.765
n0050_m03__002.inst -> Ticks: 304379.13 | Time: 186.531
n0050_m03__003.inst -> Ticks: 1070110.47 | Time: 667.859
n0050_m03__004.inst -> Ticks: 2890518.54 | Time: 1830.7
n0050_m04__000.inst -> Ticks: 783523.48 | Time: 471.25
n0050_m04__001.inst -> Ticks: 259261.49 | Time: 169.14
n0050_m04__002.inst -> Ticks: 515377.67 | Time: 326.75
n0050_m04__003.inst -> Ticks: 530991.63 | Time: 332.14
n0050_m04__004.inst -> Ticks: 630748.14 | Time: 394.093
n0050_m05__000.inst -> Ticks: 504785.97 | Time: 323.421
n0050_m05__001.inst -> Ticks: 1559601.92 | Time: 1027.62
n0050_m05__002.inst -> Ticks: 2967083.91 | Time: 1901.75
n0050_m05__003.inst -> Ticks: 77551.66 | Time: 50.672
n0050_m05__004.inst -> Ticks: 887972.99 | Time: 564.359
n0100_m01__000.inst -> Ticks: 63233.49 | Time: 40.875
