n0040_m01__003.inst -> Ticks: 4003.24 | Time: 3.094 | BnB nodes: 1407
n0040_m01__004.inst -> Ticks: 372.04 | Time: 0.328 | BnB nodes: 1060
n0040_m02__000.inst -> Ticks: 224751.77 | Time: 148.031 | BnB nodes: 38876
n0040_m02__001.inst -> Ticks: 74161.21 | Time: 51.703 | BnB nodes: 17289
n0040_m02__002.inst -> Ticks: 8517.56 | Time: 5.859 | BnB nodes: 3642
n0040_m02__003.inst -> Ticks: 5954.23 | Time: 4.25 | BnB nodes: 3192
n0040_m02__004.inst -> Ticks: 96447.3 | Time: 67.359 | BnB nodes: 33380
n0040_m03__000.inst -> Ticks: 219942.35 | Time: 139.75 | BnB nodes: 62600
n0040_m03__001.inst -> Ticks: 393167.69 | Time: 250.641 | BnB nodes: 34919
n0040_m03__002.inst -> Ticks: 7966.71 | Time: 5.265 | BnB nodes: 3691
n0040_m03__003.inst -> Ticks: 52110.33 | Time: 34.531 | BnB nodes: 12463
n0040_m03__004.inst -> Ticks: 19228.33 | Time: 13.125 | BnB nodes: 9980
n0040_m04__000.inst -> Ticks: 112900.61 | Time: 76.14 | BnB nodes: 17363
n0040_m04__001.inst -> Ticks: 302942.42 | Time: 203.406 | BnB nodes: 61333
n0040_m04__002.inst -> Ticks: 186016.12 | Time: 117.531 | BnB nodes: 34786
n0040_m04__003.inst -> Ticks: 451951.12 | Time: 292.781 | BnB nodes: 58955
n0040_m04__004.inst -> Ticks: 592461.0 | Time: 407.703 | BnB nodes: 139691
n0040_m05__000.inst -> Ticks: 269706.97 | Time: 170.859 | BnB nodes: 30847
n0040_m05__001.inst -> Ticks: 11014.27 | Time: 7.484 | BnB nodes: 4118
n0040_m05__002.inst -> Ticks: 4308.12 | Time: 2.89 | BnB nodes: 2542
n0040_m05__003.inst -> Ticks: 67095.58 | Time: 44.187 | BnB nodes: 14557
n0040_m05__004.inst -> Ticks: 157017.67 | Time: 101.766 | BnB nodes: 20079
n0045_m01__000.inst -> Ticks: 2294.07 | Time: 1.687 | BnB nodes: 1498
n0045_m01__001.inst -> Ticks: 2111.28 | Time: 1.75 | BnB nodes: 1407
n0045_m01__002.inst -> Ticks: 11602.28 | Time: 7.984 | BnB nodes: 6635
n0045_m01__003.inst -> Ticks: 5169.68 | Time: 3.812 | BnB nodes: 3507
n0045_m01__004.inst -> Ticks: 850.93 | Time: 0.671 | BnB nodes: 1119
n0045_m02__000.inst -> Ticks: 34579.35 | Time: 21.765 | BnB nodes: 9738
n0045_m02__001.inst -> Ticks: 45413.19 | Time: 28.093 | BnB nodes: 8307
